item_id;vectors
10;0.24993373|0.10598448|0.65712047|0.34054828|0.15230852|0.09879774|-1.0594975|-0.09536794|1.2463044|-0.70358425|0.79088765|0.37198505|0.1880314|0.13562624|1.047533|0.23849279|0.06714997|-0.547891|0.112949684|-0.5097514|-0.2809186|-0.3577314|-0.33283162|0.8612155|0.08944137|0.117361635|-0.17902508|-0.44981715|0.045054123|0.0409227|0.23848967|-0.37940073|0.04657978|-0.19634876|-0.1590474|-0.9282323|-0.09559071|0.63938576|0.16787393|-0.045937177|0.99893594|0.3925355|0.24677184|-0.035047114|0.23044777|0.3587902|-0.2389718|-0.48362038|-0.25998968|-0.3775648|0.23530021|-0.68471587|0.05683559|0.7911924|0.12930724|-0.51786184|-0.18702345|0.22414327|-0.151422|0.1484175|-0.7349375|-0.6975132|0.3792575|0.07491696|0.4320591|0.0532971|-0.04462512|-0.19425587|0.34063095|-0.35627905|-0.74498963|-0.13119324|0.5930413|-0.42456686|0.11804603|0.2252258|0.8243768|0.78358257|-0.5139136|-0.74482876|0.14379886|0.19849724|-0.5273289|-0.49247742|-0.11286415|0.27757883|0.34215358|0.03626761|-0.08529414|0.15327084|-0.45872903|-0.059524894|0.36753237|0.8919717|-0.19395345|-0.025891691|0.4374714|-0.11136672|0.22076757|-0.14541417
11;0.32016551|0.94804645|0.5810718|0.5232788|-0.89778733|-0.25488532|-0.2598867|0.27794755|0.47199294|-0.9999682|0.66371363|0.5468961|0.8852154|0.008282304|0.55174005|0.43865567|-0.2327221|-0.5568282|-1.2625735|-0.50818986|0.94949454|-0.22234315|-0.6558167|-0.02536133|0.53450626|0.62711024|-0.031992495|-0.6324351|0.24491224|0.08892487|-0.062076062|0.29337925|0.64079833|-0.52077717|0.20215875|-0.94943327|0.08712226|0.64421695|0.16698784|-0.18478411|0.4658923|0.90902793|-0.589419|-0.36595482|-0.07750815|-0.1702415|-0.66469544|-0.17919043|0.13120976|0.013870314|0.4110753|0.35704735|0.15654242|0.15139423|0.22961777|-0.56284666|0.14099485|1.0024532|-0.6156962|-0.0628766|-0.96538615|-0.09292036|0.010457173|0.19674006|-0.12793455|0.41034257|-0.07530235|0.1034119|0.33896655|-0.81485635|-0.15793408|0.26395792|-0.43537915|-0.565379|0.18882078|-0.052094024|1.4780025|0.42258972|0.007529497|-0.03530459|-0.49896356|0.6022495|-0.34744224|-0.20447785|0.3124751|0.8436705|0.008676127|-0.18992743|-0.2817558|0.844303|0.41662872|-0.35750598|-0.638203|0.51866215|0.06854682|0.02038142|0.21033819|0.44707024|0.56760424|0.22615424
12;0.38082513|0.48615003|1.0232892|0.12031685|-0.7770665|-0.91921186|-0.39687407|0.48413473|0.49440688|-0.3068591|0.16142377|0.76549757|0.66993517|-0.19313507|0.52618563|-0.346935|-0.16420063|-0.26041764|-0.17958108|-0.3877308|0.6108203|0.13782527|0.29143703|0.23624727|0.3934601|0.6550884|0.78799343|-0.42342854|-0.07260536|0.13452211|-0.5618952|-0.1082907|0.2725294|-0.54802865|0.5286012|-0.4420971|-0.3907126|0.8758024|0.42528173|-0.008171327|1.0727164|0.2639869|-0.035629362|-0.042217135|-0.60822064|0.76943207|-0.7101351|-0.15608126|-0.46698183|-0.07371613|0.6497036|-0.06286909|-0.05709754|0.6548561|-0.31225786|-0.52199864|-0.53017926|0.27521074|-0.35501087|0.098692045|1.0149121|-0.32396615|0.27333856|1.1575798|-0.08386248|-0.06028673|-0.23612304|0.021980725|-0.062172905|-0.41485056|-0.18445668|-0.327484|0.3371302|-0.4847523|0.6981177|-0.41988462|0.10023214|1.0124118|-0.46227816|-0.31731397|-0.57146823|-0.23156586|-0.15369332|0.06848118|-0.4584508|0.029948086|0.09332597|-0.2785308|0.216014|0.81081706|-0.24533343|-0.8244561|-0.2864508|0.634818|-0.1653159|0.45825055|0.6919383|0.33097267|-0.63284737|-0.013791293
13;-0.1865541|1.0910892|0.17204316|0.33289573|-0.37032712|-0.30970135|-0.240417|0.39110953|-0.028114974|-0.87352335|0.13048095|0.7676119|-0.17504495|0.13502102|0.38436764|0.38118434|0.64129436|-1.1372583|-0.6023988|-0.79769653|0.22402991|-0.091088876|-0.23393503|0.47674593|0.3480654|1.2984779|0.52647483|-0.22472596|0.7383539|0.29320523|-0.70203406|0.08326115|-0.08096957|-0.23428723|0.53623366|-0.120723665|-0.60442877|0.94138706|0.4609178|-0.22907072|0.5456206|0.9201931|0.06633863|-0.16375476|-0.290099|0.47136882|-0.26283213|0.36953035|-0.39956045|0.103602|-0.40272|0.19172662|0.37914088|-0.05668202|-0.45407555|-0.56943405|-0.039613754|0.7597519|-0.7088486|-0.08088543|-0.597004|-0.28502524|-0.15929076|-0.17667288|0.117069036|0.009400234|-0.007902831|1.0245064|0.20095126|-0.22557034|0.070744514|-0.9231316|0.29000583|0.37297043|0.17461267|0.20431358|0.30037528|0.21186921|-0.89097667|0.088535726|-0.45802027|0.70264137|-0.033690345|-0.71993154|0.21520609|0.067451715|0.09825605|-0.22820212|-0.22661522|0.885804|-0.27416995|0.3474189|-0.4256202|0.9469074|0.509663|0.7982543|0.31342098|0.5372302|1.069411|-0.007840276
14;0.7914115|0.35675734|0.28075817|0.30844516|-0.76108795|0.28230375|-0.8210424|0.08411135|0.41435286|-0.38166168|1.3085687|0.4277974|0.42404753|0.61208594|-0.10707018|0.5347161|0.30700278|-0.38884652|-0.06481707|-0.3909066|0.7129603|0.49725917|-0.59931993|0.6132108|0.19485378|0.9806502|-0.3923962|-0.82464653|0.2988381|0.18523729|0.50492436|-0.020597681|0.54313344|-0.9555887|-0.23906758|-0.29181045|-0.13101561|0.7708951|-0.64483833|-0.35869533|0.7467391|0.0007985532|0.33045098|-0.5091541|-0.7571565|0.11595375|-0.15163073|-0.7393885|-0.42862958|0.62615174|0.5022406|0.20134586|0.62070465|0.51991487|0.23728564|-0.74012566|-1.0877981|0.1851548|-0.38623822|-0.054089576|0.80677605|-0.7408929|-0.033480078|0.2589969|0.20110273|0.37073654|0.012022108|0.36011934|0.23713616|-0.4836452|-0.8020358|-0.6231131|0.44855788|-0.7049194|0.38491184|-0.11890196|0.7107947|0.34310275|0.09017447|0.15936734|0.4632893|-0.21154967|-0.12277987|0.31251502|0.027454823|1.0482781|0.19834995|-0.4231534|0.39456725|0.6565545|0.13497896|-0.91750914|-0.6037139|0.16213012|-0.2417776|0.7473569|0.7325907|0.64412355|-0.27617663|-0.29656112
15;0.43442178|0.59135306|0.27570978|-0.21791294|-0.8034179|-0.40571243|0.40371734|-0.16836458|0.45137388|-0.7410389|0.16980198|0.87025476|0.35738087|0.35805142|0.16126812|0.84332466|-0.12847641|-0.6792689|-0.42238343|-0.38742626|0.62198246|0.28717864|0.36323863|0.32196876|0.2191137|0.7759706|-0.1712498|-0.15172023|0.29017255|-0.31186956|-0.2793425|-0.054497913|0.6223483|-0.7580153|0.41485435|-0.7322258|-0.33279404|0.23907202|0.0312562|0.045255132|0.70432186|0.82906365|-0.22591063|-0.3966122|-0.85608244|-0.27152058|-0.29708037|0.06343901|0.3143035|-0.046547793|0.24066009|0.30124164|0.9677606|0.5687828|-0.12403702|0.107058406|-0.17733598|0.43844384|-0.38095218|0.10358757|-0.60211456|-0.0040174723|0.2807486|0.4585482|-0.023176283|0.6564629|0.09154618|0.5562498|0.103538364|-0.08873974|-0.057075337|-0.65507084|0.12588815|-0.37407506|0.3366806|0.16351534|0.057997167|0.6224956|-0.11486974|-0.18527803|-0.06108579|0.39336118|-0.28496417|-0.35654205|-0.5006434|0.6888894|-0.049647838|-0.026840985|-0.03942685|0.46811953|-0.08072163|-0.4329301|-0.47950518|0.54459715|0.43506038|0.3396615|0.16220847|0.13273105|0.05685255|0.2560051
16;0.65466845|0.73191714|0.49370462|0.59118664|-0.34414926|-0.09484705|-0.80543554|0.6219053|0.3968382|-0.8201412|1.020308|0.5680485|0.21294954|0.15553318|0.19499688|0.19180018|0.27036288|-0.9388402|-0.22683594|-0.19087169|-0.038466394|-0.050433874|0.052325577|0.4063131|0.4273169|0.53659725|0.13177197|-0.38052553|0.13967118|-0.053036235|-0.15111244|0.12924118|0.40784103|-0.32501438|-0.064786166|-0.5122187|0.3711306|0.044689953|0.80633414|0.31465197|0.83401847|0.2358956|-0.39319724|-0.5018356|-0.49615517|1.0278434|-0.21301979|-0.7013211|-0.3456732|0.35850814|0.14861885|-0.056388184|0.22273715|0.6450763|-0.13963462|-0.48134893|-0.32360548|0.6327583|-0.29684553|-0.32836556|-0.46174484|-0.6997135|0.19988796|0.38974315|0.2802233|0.154385|-0.15060437|-0.27388072|0.41591206|0.681223|-0.6278719|-0.5901508|0.018283695|-0.20250756|0.21877709|-0.044499833|0.07945752|0.62588036|-0.06723538|0.009251118|0.066988885|0.27834994|0.03893628|-0.21116579|-0.07633144|0.22811629|0.39903396|-0.32154104|0.01595053|0.9953945|-0.24137937|-0.4560203|0.09676828|0.46011376|0.053858526|0.4239176|0.3766481|0.25000107|0.07860173|0.028925985
17;0.32885063|0.6182594|0.14867453|0.6140952|-0.62442774|-0.39755028|-0.36657172|0.35331148|1.0063367|-0.4960463|0.501924|0.34738874|0.20975414|-0.19268611|0.708354|0.5059496|0.3672998|-0.21618414|0.06821315|-0.26600754|0.24641082|0.2157754|-0.37476647|0.55687404|0.21994929|0.26774898|-0.069338426|-0.5557516|-0.09788625|-0.81819123|-0.11375487|-0.577538|0.41367894|-0.6030688|0.042445928|-0.69395584|-0.82989085|0.31913203|0.92396724|-0.032395452|0.5337632|0.031186223|-0.3126082|-0.72609997|-0.18712099|0.13150796|-0.5412299|-0.44112056|-0.02054657|-0.48693606|0.400994|-0.053508297|0.30436635|0.60562545|-0.3892203|0.23308334|-0.4466596|0.45368707|-0.26923043|0.49877802|0.36100614|-0.72542816|-0.10642955|0.81801087|0.51555073|-0.4649819|-0.14687239|-0.28055477|0.22156374|-0.43754974|0.023690894|-0.21019676|0.61505216|-0.21945652|0.27218872|-0.30969885|-0.062406123|0.30979124|-0.18689883|-0.38200742|-0.28247666|0.6135993|-0.12943938|-0.4060911|-0.5483101|0.16620225|0.42712083|-0.31809044|0.108764075|0.52221406|-0.44080585|-0.19255751|0.38944745|0.6767134|0.3010236|0.25780982|0.15783772|0.30722845|-0.25233585|0.58968383
18;0.27611446|0.4281984|0.42930916|0.6478599|-0.50936806|-0.5835552|-0.18601412|0.49472344|0.9365504|-0.54476774|0.58547515|0.12188867|0.38446453|-0.48524827|0.34492856|0.23661256|-0.11036259|-0.4464003|0.057549134|-0.6277507|0.02855128|0.060919516|-0.55250823|-0.07958594|0.050227135|0.9957571|-0.11878756|-0.8295466|0.19295521|0.1417976|0.1089461|-0.73467773|0.03471026|-0.40922177|0.49341333|-1.1548066|-0.21182932|-0.264005|0.44507766|-0.088602975|0.66857004|-0.3388897|-0.92357385|-0.302529|0.4945848|0.37780476|-0.8527425|-0.6483902|0.52435446|-0.32322034|0.39986962|0.7105259|-0.36677146|0.037629336|0.22212955|0.28008065|-1.1074296|0.8913368|-0.5225312|-0.34560978|-0.18509439|-0.36108398|0.9211587|0.30515504|0.85791767|-0.027550638|-0.44476312|-0.022682734|0.53129125|-0.10101916|0.09202555|-0.37976235|0.12879412|-0.68807817|1.0723517|0.0520149|0.4212574|1.0122092|-0.5139855|0.16730337|-0.88780296|0.27179003|0.016921714|-0.19586834|-0.59142053|-0.2615829|0.327824|0.20454428|0.49055704|0.30826598|-0.60294|-0.091640085|0.107625835|0.73360574|0.18541579|0.3696833|0.6185316|0.5363413|-1.073472|0.7291465
19;0.225858|0.8954562|0.7323967|-0.27113733|-0.81422067|-0.9141376|0.1792332|-0.14556158|0.15115452|-0.40939808|0.1722405|0.47883302|0.44964707|-0.2281422|0.11786473|0.81004715|-0.35854903|-0.6316133|-0.5451707|-0.6968774|0.66360307|0.3750849|0.032555014|0.6507294|0.5948843|0.45432678|0.26332334|0.10006249|0.6122295|-0.007924765|0.102770165|-0.16232848|0.49754858|-0.39435983|0.23208407|-0.017237723|-0.685014|0.4240343|-0.3157753|-0.41744393|0.6974709|-0.03406316|-0.40570143|-0.5039175|-0.65270734|0.1703467|-0.7649757|-0.35102838|0.22094557|-0.718648|0.069138065|0.2573614|0.28952485|0.10844004|-0.525747|0.056063533|-0.41064918|0.010838091|-0.48521477|-0.02951797|-0.70514184|-0.32473987|0.32144684|0.77944547|-0.23339126|-0.2990855|-0.69794726|0.00041236728|0.13122135|-0.47396535|0.31816003|-0.24481724|0.17576653|-0.20362626|-0.45404053|0.23732503|0.5713471|0.5351203|-0.3652299|-0.7130266|-0.029717267|0.31249538|0.7851297|-0.49384248|-0.06935197|0.24599944|0.5718006|0.6203232|0.07458283|0.90452397|-0.683276|-0.39160043|0.1682333|0.5839951|0.21518248|0.70410776|-0.26697376|0.89667416|-0.1931144|0.4756325
20;0.99033713|-0.03560984|0.2747088|0.20584303|-0.47983|-0.71358955|-0.19238767|-0.3498882|0.64790106|-0.9336247|0.13543081|0.9173905|-0.0014063716|-0.5616357|0.23951851|0.27406707|-0.3292708|-0.4464681|-0.03351009|-0.55668014|0.25901595|0.4375135|-0.27792227|0.24683055|0.17908199|0.8086089|0.028611138|-0.41687727|0.14809653|0.075832695|-0.59574103|0.30540383|0.47688472|-0.3817955|0.54395723|-0.8858541|-0.1944022|0.37885648|1.1195515|0.6882424|0.26934516|0.49106967|-0.6385596|-0.26932222|-0.34243587|-0.04743123|-0.86923724|-0.40493488|-0.10574387|-0.058091678|-0.023416638|-0.0014149249|-0.13737561|0.8622111|-0.19285962|-0.6497211|0.02135259|0.97956115|-0.71057415|-0.02716059|-0.34317243|-0.2707456|0.23692231|0.14906472|0.15153965|0.2680709|-0.14069062|0.19791038|0.18536565|0.57940835|-0.16378462|-0.2556262|0.01775387|0.019769937|-0.0731525|-0.5639869|0.50125456|0.6878928|-0.40071356|-0.39558834|-0.36359775|0.6539957|-0.1845226|-0.14838356|-0.36856276|0.8908303|-0.06428325|0.22178996|0.062688395|0.5430609|-0.6498039|-0.15870456|-0.40752384|0.3601481|0.36785647|0.28989834|0.5880443|0.17175841|0.26880062|0.5914959
